epoch,train_acc_cnn_moderate_dropout,train_loss_cnn_moderate_dropout,eval_acc_cnn_moderate_dropout,eval_loss_cnn_moderate_dropout
1,0.193,2.823,0.146,3.391
2,0.338,2.212,0.196,3.109
3,0.447,1.800,0.301,2.706
4,0.583,1.342,0.202,3.985
5,0.714,0.932,0.335,2.704
6,0.823,0.576,0.347,2.973
7,0.882,0.379,0.307,3.387
8,0.882,0.379,0.307,3.387
1,0.172,2.926,0.243,2.569
2,0.303,2.374,0.233,2.694
3,0.397,2.022,0.140,3.767
4,0.521,1.561,0.284,2.724
5,0.666,1.084,0.222,3.427
6,0.775,0.714,0.278,3.695
7,0.864,0.424,0.241,4.671
8,0.889,0.337,0.222,5.844
9,0.923,0.268,0.335,3.878
10,0.933,0.204,0.335,4.126
11,0.944,0.175,0.358,4.391
12,0.961,0.130,0.373,4.106
13,0.962,0.123,0.355,4.336
14,0.971,0.108,0.346,4.342
15,0.979,0.068,0.388,4.463
16,0.976,0.076,0.377,4.611
17,0.976,0.079,0.353,4.967
18,0.971,0.088,0.356,4.907
19,0.966,0.102,0.350,4.875
20,0.968,0.107,0.365,4.981
21,0.970,0.103,0.374,4.844
22,0.978,0.067,0.366,5.336
23,0.975,0.076,0.375,5.044
24,0.979,0.073,0.388,4.981
25,0.979,0.074,0.361,5.191
26,0.979,0.081,0.337,5.523
27,0.970,0.086,0.327,5.628
28,0.979,0.063,0.385,5.416
29,0.985,0.053,0.362,5.832
30,0.987,0.048,0.385,5.814
31,0.977,0.072,0.330,6.353
32,0.973,0.086,0.336,6.083
33,0.958,0.131,0.349,6.242
34,0.971,0.088,0.350,6.065
35,0.985,0.042,0.355,5.973
36,0.991,0.028,0.366,5.796
37,0.996,0.020,0.368,5.851
38,0.998,0.008,0.384,5.625
39,0.999,0.004,0.392,5.646
40,0.999,0.002,0.356,5.903
41,0.992,0.031,0.356,6.592
42,0.950,0.171,0.334,6.395
