epoch,train_acc_testing,train_loss_testing,eval_acc_testing,eval_loss_testing
1,0.078,1282.380,0.073,492.294
2,0.144,419.973,0.107,434.398
3,0.176,412.176,0.071,438.527
4,0.200,357.307,0.129,409.260
5,0.252,337.729,0.169,279.856
6,0.274,251.996,0.099,406.300
7,0.289,289.124,0.163,415.991
8,0.335,257.974,0.173,384.206
9,0.346,240.053,0.097,388.527
10,0.379,198.420,0.141,476.614
11,0.423,201.709,0.144,360.955
12,0.398,241.666,0.192,386.021
13,0.517,146.517,0.178,261.210
14,0.480,173.397,0.161,355.354
15,0.524,143.910,0.186,317.685
16,0.525,143.216,0.189,313.614
17,0.511,168.953,0.157,355.196
18,0.565,119.688,0.176,361.255
19,0.550,136.176,0.185,368.301
20,0.551,148.845,0.155,373.476
21,0.569,128.799,0.215,292.911
22,0.586,118.114,0.176,416.565
23,0.570,155.349,0.174,414.635
24,0.577,140.625,0.113,545.229
25,0.564,159.872,0.121,505.758
26,0.614,125.833,0.174,396.804
27,0.674,93.094,0.194,421.008
28,0.607,137.589,0.182,484.050
29,0.547,233.387,0.152,437.870
30,0.649,105.488,0.185,449.684
31,0.627,120.658,0.163,401.632
32,0.606,144.030,0.179,524.912
33,0.644,123.591,0.200,450.459
34,0.665,121.480,0.162,568.214
35,0.668,108.292,0.185,545.716
36,0.672,114.744,0.146,497.803
37,0.647,129.856,0.187,584.833
38,0.628,154.866,0.141,644.201
39,0.650,140.892,0.184,601.581
40,0.678,113.412,0.173,637.238
41,0.694,100.369,0.193,696.161
42,0.692,120.056,0.157,608.435
43,0.670,115.555,0.170,631.117
44,0.704,107.582,0.174,635.805
45,0.699,108.589,0.205,573.138
46,0.668,143.851,0.168,646.868
47,0.692,123.618,0.149,674.294
48,0.729,113.380,0.179,678.062
49,0.719,99.717,0.172,664.878
50,0.708,106.893,0.217,532.080
51,0.730,87.829,0.206,689.400
52,0.720,106.750,0.174,760.965
53,0.726,86.315,0.179,668.307
54,0.732,95.957,0.162,609.704
55,0.744,76.508,0.191,614.505
56,0.745,112.994,0.181,640.224
57,0.717,107.103,0.181,704.196
58,0.757,85.830,0.158,683.629
59,0.791,70.312,0.205,652.961
60,0.756,90.087,0.206,591.253
61,0.787,71.553,0.179,761.278
62,0.754,81.999,0.161,798.737
63,0.781,76.122,0.176,696.686
64,0.817,62.577,0.212,727.274
65,0.762,96.541,0.192,710.647
66,0.797,75.967,0.192,716.623
67,0.791,66.977,0.198,700.403
68,0.756,91.224,0.189,797.690
69,0.771,87.659,0.140,861.824
70,0.748,99.186,0.172,859.062
71,0.754,100.748,0.165,1019.501
72,0.742,110.556,0.169,930.927
73,0.773,91.538,0.132,995.477
74,0.758,107.207,0.210,975.777
75,0.761,113.059,0.164,950.965
76,0.791,86.640,0.186,899.455
77,0.803,81.498,0.209,823.379
78,0.774,94.798,0.164,941.664
79,0.793,70.096,0.193,998.431
80,0.761,101.376,0.172,1019.622
81,0.793,83.631,0.202,795.649
82,0.790,79.185,0.226,802.436
83,0.801,71.065,0.218,813.033
84,0.815,61.411,0.181,863.229
85,0.782,105.658,0.203,883.150
86,0.793,102.198,0.187,996.758
87,0.818,70.960,0.208,669.799
88,0.833,60.192,0.187,823.005
89,0.797,92.853,0.205,865.323
90,0.809,82.233,0.182,856.961
91,0.812,72.167,0.190,891.576
92,0.826,61.934,0.196,867.251
93,0.806,86.488,0.197,884.264
94,0.827,75.206,0.188,919.448
95,0.808,74.457,0.209,890.850
96,0.842,65.744,0.208,902.023
97,0.805,90.354,0.193,943.475
98,0.830,69.918,0.181,962.858
99,0.806,86.057,0.181,919.354
